cod_event,event_name,event_period,event_type,cod_timegroup,cod_prerequisites
IM853,CIRCUITOS DIGITAIS,1,MANDATORY,1,
IM885,GEOMETRIA ANALÍTICA,1,MANDATORY,1,
TN703,COMPUTADORES E SOCIEDADE,1,MANDATORY,1,
TN705,MATEMÁTICA DISCRETA PARA COMPUTAÇÃO,1,MANDATORY,1,
TN706,PROGRAMAÇÃO ESTRUTURADA,1,MANDATORY,1,
TN707,INTRODUÇÃO À CIÊNCIA DA COMPUTAÇÃO,1,MANDATORY,1,
IM403,CÁLCULO I,2,MANDATORY,1,
IM429,ÁLGEBRA LINEAR I,2,MANDATORY,1,IM885
TN709,LÓGICA PARA COMPUTAÇÃO,2,MANDATORY,1,
TN710,ENGENHARIA DE SOFTWARE I,2,MANDATORY,1,
TN711,ESTRUTURA DE DADOS I,2,MANDATORY,1,TN706
TN712,ARQUITETURA DE COMPUTADORES,2,MANDATORY,1,IM853
IM404,CÁLCULO II,3,MANDATORY,1,IM403
IM478,ÁLGEBRA LINEAR COMPUTACIONAL,3,MANDATORY,1,IM429
TN715,LINGUAGENS FORMAIS E AUTÔMATOS,3,MANDATORY,1,
TN716,MODELAGEM E PROJETO DE SOFTWARE,3,MANDATORY,1,TN710
TN717,PROGRAMAÇÃO ORIENTADA A OBJETOS,3,MANDATORY,1,TN706
TN718,GRAFOS E ALGORITMOS,3,MANDATORY,1,
IM859,PROBABILIDADE E ESTATÍSTICA PARA CIÊNCIA DA COMPUTAÇÃO,4,MANDATORY,1,IM404
IM868,SISTEMAS OPERACIONAIS,4,MANDATORY,1,
TM406,CÁLCULO III,4,MANDATORY,1,IM404
TM407,FÍSICA PARA CIÊNCIA DA COMPUTAÇÃO,4,MANDATORY,1,IM404
TN720,LINGUAGENS DE PROGRAMAÇÃO,4,MANDATORY,1,TN717
TN723,ANÁLISE E PROJETO DE ALGORITMOS,4,MANDATORY,1,TN718
TM421,COMPUTAÇÃO GRÁFICA,5,MANDATORY,2,"IM429,TN711"
TN724,INTELIGÊNCIA ARTIFICIAL,5,MANDATORY,2,"TN711,TN709"
TN725,COMPILADORES,5,MANDATORY,2,"TN715,TN720"
TN726,MÉTODOS NUMÉRICOS,5,MANDATORY,2,IM404
TN727,BANCO DE DADOS,5,MANDATORY,2,
TN728,OTIMIZAÇÃO LINEAR,5,MANDATORY,2,IM429
TN729,REDES E SISTEMAS DISTRIBUÍDOS,6,MANDATORY,2,IM868
TN730,ESTRUTURA DE DADOS 2,6,MANDATORY,2,TN711
IM188,CULTURA AFRO-BRASILEIRA E AFRICANA,0,OPTIONAL,2,
IM461,LINGUAGEM BRASILEIRA DE SINAIS (LIBRAS),0,OPTIONAL,2,
TM419,GERÊNCIA DE PROJETOS,0,OPTIONAL,2,
TM429,INTRODUÇÃO À TEORIA DOS SISTEMAS DE RECOMENDAÇÃO,0,OPTIONAL,2,
TM430,REDES DE COMPUTADORES SEM FIO,0,OPTIONAL,2,
TM431,INTRODUÇÃO À TEORIA DAS REDES DE PETRI,0,OPTIONAL,2,
TM432,MODELAGEM DE SOFTWARE COM REDES DE PETRI,0,OPTIONAL,2,
TM434,MINERAÇÃO DE DADOS,0,OPTIONAL,2,
TM435,PROGRAMAÇÃO PARALELA E DISTRIBUÍDA,0,OPTIONAL,2,
TM436,ALGORITMOS PARALELOS E DISTRIBUÍDOS,0,OPTIONAL,2,
TM438,PROCESSAMENTO DE IMAGENS,0,OPTIONAL,2,
TM441,PROCESSAMENTO DE LINGUAGEM NATURAL,0,OPTIONAL,2,
TM444,BUSCA E RECUPERAÇÃO DE INFORMAÇÃO,0,OPTIONAL,2,
TN704,INTRODUÇÃO À ENGENHARIA DE SOFTWARE EXPERIMENTAL,0,OPTIONAL,2,
TN708,GOVERNANÇA DE TECNOLOGIA DA INFORMAÇÃO,0,OPTIONAL,2,
TN713,INTRODUÇÃO AOS SISTEMAS DE INFORMAÇÃO,0,OPTIONAL,2,
TN719,ENGENHARIA DE SOFTWARE II,0,OPTIONAL,2,
TN721,ARQUITETURA DE SOFTWARE,0,OPTIONAL,2,
TN722,MODELAGEM E ANÁLISE FORMAL DE PROCESSOS DE NEGÓCIO,0,OPTIONAL,2,
TN732,MEDIÇÃO E QUALIDADE DE SOFTWARE,0,OPTIONAL,2,
TN733,INTERAÇÃO HUMANO-COMPUTADOR,0,OPTIONAL,2,
TN734,ENGENHARIA DE REQUISITOS,0,OPTIONAL,2,
TN735,BANCO DE DADOS II,0,OPTIONAL,2,
TN736,INTRODUÇÃO À WEB SEMÂNTICA,0,OPTIONAL,2,
TN737,INTRODUÇÃO À BIOLOGIA COMPUTACIONAL,0,OPTIONAL,2,
TN739,TEORIA DOS JOGOS ALGORÍTMICA,0,OPTIONAL,2,
TN740,TÓPICOS ESPECIAIS EM GRAFOS E ALGORITMOS,0,OPTIONAL,2,
TN741,COMPUTAÇÃO DE ALTO DESEMPENHO,0,OPTIONAL,2,
TN742,PROGRAMAÇÃO EM GPU,0,OPTIONAL,2,
TN743,INTRODUÇÃO À DISPOSITIVOS MÓVEIS,0,OPTIONAL,2,
TN744,ROTEAMENTO EM REDES DE COMPUTADORES,0,OPTIONAL,2,
TN745,APRENDIZADO DE MÁQUINA,0,OPTIONAL,2,
